,model,train_r2,test_r2,train_mse,test_mse
max_temp,Lightgbm,0.9529046712048774,0.8785699789700064,3.6948144553426325,8.806161003402883
min_temp,Lightgbm,0.944632735417701,0.8504528367399333,2.2979050929084974,5.976561044128244
avg_temp,Lightgbm,0.964813212829239,0.9092513648915707,1.9922084254730088,4.757484598360182
max_temp,Random Forest,0.9482795619161584,0.885529081172943,4.057672536912459,8.301483709284167
min_temp,Random Forest,0.9392463468089343,0.8591393117705542,2.5214561371915556,5.629411374772634
avg_temp,Random Forest,0.9609775043035028,0.9108973021202865,2.2093788879408134,4.671196567624213
max_temp,SVR,0.882174488192732,0.8692552243783446,9.243876523879873,9.481671292749695
min_temp,SVR,0.865892191182067,0.8423447726402631,5.565870360517122,6.300594873891461
avg_temp,SVR,0.9107909588653744,0.8980069535646318,5.050844867258899,5.346971301290985
max_temp,scikeras,0.9035195060795168,0.8740222063030338,7.569275610045567,9.135967569954854
min_temp,scikeras,0.9020779325221493,0.8610228703585483,4.064055164419672,5.554136106182204
avg_temp,scikeras,0.9335115736957937,0.9053133913306708,3.764447218123676,4.963932315643706
