,model,train_r2,test_r2,train_mse,test_mse
max_temp,Lightgbm,0.9537672936229576,0.8776489455710351,3.6271383213954476,8.872954769327121
min_temp,Lightgbm,0.9450780689261097,0.8514483645080884,2.2794224363291025,5.936775384890053
avg_temp,Lightgbm,0.9647286373703666,0.9091344664934592,1.9969969257966176,4.763612980654015
max_temp,Random Forest,0.9483173846843572,0.8857515246416313,4.054705191439831,8.285352006573348
min_temp,Random Forest,0.9391958498111509,0.8591122697235565,2.523551911820454,5.630492093665035
avg_temp,Random Forest,0.9609824641165534,0.910888626843182,2.209098072835407,4.6716513678221645
max_temp,SVR,0.3385244996201333,0.18088664566401913,51.89536421522225,59.40247738685928
min_temp,SVR,0.40020062922128197,0.16968094733808536,24.893446321282898,33.18319382432434
avg_temp,SVR,0.38200405695715633,0.19576940879232863,34.989745402534425,42.161677105435636
max_temp,scikeras,0.9117642300651576,0.8725421209360573,6.922444466876849,9.243304041857098
min_temp,scikeras,0.9058250554154369,0.8472010548314043,3.9085384914324988,6.106516522084847
avg_temp,scikeras,0.9396341620317556,0.9020520601264258,3.4177980054685984,5.1349071513071625
